,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
14,0.3,0.9692937563971341,0.8037691401648999,0.6465985943508819,0.5040650406504065,0.38928210313447925,0.4077942322681216,0.001,0.0001,0.03,1.0511768420624443,550,7,30,0,497,6,13,0.8,1,0.5393180813439434
15,0.25,0.9641760491299898,0.8040047114252061,0.6446094682402864,0.505713030103274,0.38549039433771487,0.4088854247856586,0.001,0.001,0.03,1.0507821567490303,350,5,10,0,584,6,17,0.8,1,0.5385720601237842
16,0.25,0.9662231320368475,0.8037691401648999,0.6444768598329134,0.499780268072951,0.3935793731041456,0.40795011691348404,0.0001,0.0001,0.03,1.0502425799697244,350,5,20,0,619,6,11,0.9,1,0.53868258178603
17,0.2,0.962128966223132,0.8051825677267374,0.6407638244264686,0.505493298176225,0.3886501516683519,0.4102883865939205,0.01,0.0001,0.02,1.050910805071016,450,6,50,0,871,6,13,0.9,3,0.538737842617153
18,0.3,0.9641760491299898,0.8040047114252061,0.6516377138310568,0.4963744232036915,0.391051567239636,0.40810600155884647,0.0001,0.01,0.03,1.0498379984750867,250,4,20,0,548,6,15,0.7,1,0.5387654730327144
19,0.2,0.9662231320368475,0.8049469964664311,0.6439464262034214,0.500878927708196,0.3935793731041456,0.41184723304754484,0.01,0.0001,0.02,1.0501766241323438,350,4,50,0,1002,6,11,0.7,1,0.5396772767462422
20,0.2,0.9692937563971341,0.8101295641931684,0.6395703487601114,0.5049439683586026,0.3858695652173913,0.41044427123928295,0.001,0.01,0.03,1.0509736450526017,450,4,20,0,762,6,8,0.8,3,0.5385444297082228
21,0.2,0.9611054247697032,0.8025912838633686,0.6436812093886752,0.5042847725774555,0.38953488372093026,0.41013250194855805,0.001,0.0001,0.015,1.0504261342068748,450,5,30,0,1062,6,17,0.9,1,0.5388759946949602
22,0.3,0.9662231320368475,0.7962308598351001,0.6540246651637713,0.5020874533069655,0.38953488372093026,0.4043647700701481,0.0001,0.0001,0.02,1.0510394301823414,350,5,30,0,595,6,13,0.7,1,0.5388483642793988
23,0.3,0.9692937563971341,0.8037691401648999,0.6513724970163108,0.4965941551307405,0.3899140546006067,0.40795011691348404,0.001,0.0001,0.015,1.050425275087835,350,4,40,0,1174,6,11,0.8,1,0.5385996905393458
24,0.2,0.962128966223132,0.8082449941107185,0.6406312160190956,0.5040650406504065,0.38966127401415573,0.4113795791114575,0.01,0.001,0.03,1.0502483429772627,450,4,40,0,736,6,13,0.7,3,0.5391246684350133
25,0.3,0.9641760491299898,0.8094228504122497,0.6436812093886752,0.504834102395078,0.38485844287158744,0.413717848791894,0.01,0.0001,0.015,1.0502383411496672,350,7,30,0,985,6,21,0.9,3,0.5395114942528736
26,0.25,0.9662231320368475,0.8016489988221437,0.6480572868319852,0.503295978905735,0.38789180990899896,0.40795011691348404,0.001,0.01,0.02,1.05055580033538,450,4,40,0,870,6,11,0.7,2,0.5388207338638373
27,0.3,0.9651995905834186,0.7995288574793875,0.6614507359766609,0.4893430015381235,0.38751263902932254,0.4073265783320343,0.001,0.01,0.015,1.052821921808299,450,4,40,0,1405,6,3,0.7,2,0.537632625994695
28,0.2,0.9631525076765609,0.8054181389870436,0.6444768598329134,0.506372225884421,0.38106673407482305,0.41636788776305533,0.0001,0.001,0.03,1.0507663780622276,250,5,20,0,539,6,17,0.7,1,0.5392075596816976
29,0.2,0.9600818833162743,0.8084805653710248,0.6397029571674844,0.506372225884421,0.3886501516683519,0.41013250194855805,0.0001,0.01,0.03,1.0509114527407264,350,7,20,0,517,6,19,0.7,1,0.5390417771883289
30,0.25,0.9662231320368475,0.805889281507656,0.64739424479512,0.5049439683586026,0.38157229524772496,0.4130943102104443,0.001,0.01,0.015,1.0503610620141268,350,4,50,0,1283,6,13,0.8,2,0.5391246684350133
31,0.25,0.9570112589559877,0.8040047114252061,0.6431507757591831,0.50878927708196,0.3820778564206269,0.41200311769290726,0.001,0.01,0.03,1.05221551916668,550,7,10,0,454,6,17,0.7,2,0.5386549513704686
32,0.2,0.9600818833162743,0.8077738515901061,0.6371833974273969,0.508130081300813,0.3853640040444894,0.4144972720187062,0.0001,0.01,0.02,1.0507451333439677,550,6,50,0,795,6,17,0.7,1,0.5389312555260831
